"idx","today_date","menu_rice","menu_soup","menu_main1","menu_main2","menu_side1","menu_side2","menu_side3","menu_side4","type_meal"
1,"2024-08-13",백미밥/김밥볶음밥,미역국,파채간장돈불고기,야채고로케&케찹,국물떡볶이,팝콘치킨케이준샐러드,콩나물부추무침,포기김치,L
2,"2024-08-14",백미밥/기장밥,잔치국수,얼큰닭볶음탕,김치&고기손만두찜,어묵채피망볶음,도토리양념무침,새콤무생채무침,포기김치,L
